1.772722,0.01
1.846143,0.02
1.89843,0.03
1.934526,0.04
1.975897,0.05
2.002787,0.06
2.020935,0.07
2.036261,0.08
2.052209,0.09
2.075943,0.1
2.086841,0.11
2.097178,0.12
2.107103,0.13
2.122249,0.14
2.136439,0.15
2.150831,0.16
2.16371,0.17
2.175431,0.18
2.18521,0.19
2.196338,0.2
2.208096,0.21
2.214123,0.22
2.2278,0.23
2.240056,0.24
2.248476,0.25
2.257205,0.26
2.269635,0.27
2.279268,0.28
2.288546,0.29
2.298478,0.3
2.309043,0.31
2.318543,0.32
2.326547,0.33
2.336114,0.34
2.341848,0.35
2.352112,0.36
2.360511,0.37
2.371636,0.38
2.379824,0.39
2.38832,0.4
2.398419,0.41
2.40815,0.42
2.414293,0.43
2.419346,0.44
2.422755,0.45
2.432898,0.46
2.44231,0.47
2.452366,0.48
2.459107,0.49
2.466829,0.5
2.475093,0.51
2.486826,0.52
2.499487,0.53
2.510545,0.54
2.520872,0.55
2.529429,0.56
2.538386,0.57
2.547264,0.58
2.557305,0.59
2.565819,0.6
2.578424,0.61
2.585761,0.62
2.600684,0.63
2.610885,0.64
2.619352,0.65
2.634847,0.66
2.646754,0.67
2.658808,0.68
2.679118,0.69
2.693625,0.7
2.709136,0.71
2.733504,0.72
2.74433,0.73
2.756989,0.74
2.773451,0.75
2.790259,0.76
2.804156,0.77
2.821466,0.78
2.841676,0.79
2.867002,0.8
2.895648,0.81
2.924153,0.82
2.945264,0.83
2.97024,0.84
3.002184,0.85
3.028217,0.86
3.065232,0.87
3.091645,0.88
3.140895,0.89
3.181147,0.9,0.9
3.186076,0.9009999999999999
3.19362,0.902
3.199499,0.903
3.208758,0.904
3.21074,0.905
3.215192,0.9059999999999999
3.230105,0.907
3.238463,0.9079999999999999
3.24912,0.909
3.255512,0.91
3.259928,0.9109999999999999
3.266793,0.912
3.266989,0.9129999999999999
3.271239,0.914
3.275408,0.915
3.279747,0.9159999999999999
3.281533,0.917
3.285141,0.9179999999999999
3.293932,0.919
3.301066,0.92
3.303799,0.9209999999999999
3.323145,0.922
3.332773,0.9229999999999999
3.333579,0.924
3.344098,0.925
3.348037,0.9259999999999999
3.358372,0.927
3.367513,0.9279999999999999
3.36885,0.929
3.379273,0.93
3.386872,0.9309999999999999
3.392481,0.932
3.394744,0.9329999999999999
3.402422,0.934
3.414377,0.935
3.426165,0.9359999999999999
3.430406,0.937
3.435489,0.938
3.446747,0.9390000000000001
3.451404,0.94
3.451686,0.941
3.471349,0.9420000000000001
3.475763,0.943
3.4825,0.9440000000000001
3.490014,0.945
3.507114,0.946
3.526193,0.9470000000000001
3.52971,0.948
3.540988,0.9490000000000001
3.554489,0.95
3.558939,0.951
3.587313,0.9520000000000001
3.595645,0.953
3.602658,0.9540000000000001
3.619486,0.955
3.636311,0.956
3.63874,0.9570000000000001
3.657687,0.958
3.676975,0.9590000000000001
3.680368,0.96
3.686126,0.961
3.694797,0.9620000000000001
