2.34398,0.01
2.426322,0.02
2.473445,0.03
2.508453,0.04
2.54357,0.05
2.569271,0.06
2.595597,0.07
2.616227,0.08
2.635997,0.09
2.653225,0.1
2.675136,0.11
2.690896,0.12
2.707631,0.13
2.723396,0.14
2.737621,0.15
2.751709,0.16
2.766436,0.17
2.78042,0.18
2.792215,0.19
2.804153,0.2
2.816935,0.21
2.831887,0.22
2.843647,0.23
2.857193,0.24
2.868215,0.25
2.879588,0.26
2.892334,0.27
2.90263,0.28
2.914718,0.29
2.925085,0.3
2.936357,0.31
2.947687,0.32
2.959495,0.33
2.970974,0.34
2.983126,0.35
2.994524,0.36
3.00801,0.37
3.02254,0.38
3.033114,0.39
3.044175,0.4
3.053864,0.41
3.064372,0.42
3.075554,0.43
3.086624,0.44
3.095601,0.45
3.108739,0.46
3.120577,0.47
3.132804,0.48
3.142777,0.49
3.153303,0.5
3.162688,0.51
3.174507,0.52
3.186693,0.53
3.198406,0.54
3.208853,0.55
3.220615,0.56
3.232737,0.57
3.245386,0.58
3.257677,0.59
3.270697,0.6
3.281518,0.61
3.296929,0.62
3.309005,0.63
3.322762,0.64
3.335952,0.65
3.349847,0.66
3.363689,0.67
3.375778,0.68
3.389857,0.69
3.408358,0.7
3.42608,0.71
3.440909,0.72
3.460008,0.73
3.482201,0.74
3.498003,0.75
3.517338,0.76
3.532011,0.77
3.556677,0.78
3.576653,0.79
3.599134,0.8
3.619942,0.81
3.64516,0.82
3.670136,0.83
3.695919,0.84
3.733317,0.85
3.767842,0.86
3.801871,0.87
3.840676,0.88
3.88468,0.89
3.937057,0.9,0.9
3.940495,0.9009999999999999
3.946408,0.902
3.952926,0.903
3.959171,0.904
3.963115,0.905
3.969837,0.9059999999999999
3.97311,0.907
3.978605,0.9079999999999999
3.983859,0.909
3.98948,0.91
3.993808,0.9109999999999999
4.001202,0.912
4.005906,0.9129999999999999
4.015965,0.914
4.024822,0.915
4.030604,0.9159999999999999
4.040379,0.917
4.049485,0.9179999999999999
4.054371,0.919
4.062776,0.92
4.065982,0.9209999999999999
4.072815,0.922
4.080665,0.9229999999999999
4.087491,0.924
4.098748,0.925
4.106731,0.9259999999999999
4.115073,0.927
4.122932,0.9279999999999999
4.129758,0.929
4.136691,0.93
4.14627,0.9309999999999999
4.153461,0.932
4.159898,0.9329999999999999
4.165883,0.934
4.174195,0.935
4.182778,0.9359999999999999
4.193258,0.937
4.20382,0.938
4.217401,0.9390000000000001
